Q1_Age,Q2_Gender,Q3_Country,Q4_Education,Q5_MonthlyIncome,Q6_HouseholdSize,Q7_EmploymentStatus,Q8_SportsCount,Q9_SportsPractised,Q10_HoursPerWeek,Q11_Competitiveness,Q12_SportsIdentity,Q13_SpendLast12Months,Q14_FreqBuyOnline,Q15_FreqBuyStore,Q16_OnlineFactorRanking,Q17_BrandsBought,Q18_MaxDeliveryWindow,Q19_BiggestFrustration,Q20_SatisfactionMultiBrand,Q21_SustainabilityImportance,Q22_CartAbandonDueSplit,Q23_WaitSinglePackage,Q24_IssueRanking,Q25_AppealSingleCart,Q26_InterestAlgoBrand,Q27_LikelihoodBundleDeals,Q28_InterestPersonalDiscount,Q29_AppealEmpathyDelivery,Q30_LikelihoodSustainScore,Q31_PrimaryDownloadDriver,Q32_DeliveryMaxAllBrands,Q33_MinDiscountSwitch,Q34_PremiumMembershipFee,Q35_InstallLikelihoodPct,Q36_RecommendNPS,Q37_EnjoyNewApps,Q38_QualityOverDiscount,Q39_ShareFitnessSocial,Q40_SustainabilityInfluence,Q41_PrimaryMotivation,Q42_FrustrationText,Q43_ChangeDeliveryText,Q44_DeviceType,Q45_CompletionTimeSec,HighIntent
26,Female,Brazil,High-school diploma / equivalent,2911.0,6,"Unemployed, looking for work",1,Football/Soccer,7.5,1,1,2025.0,Occasionally,Frequently,"Sustainability,Easy returns,Price,Brand,Customer reviews,Speed of delivery,Style",Lululemon,1–2 weeks,Lack of sustainability info,3,4,Yes,Yes,"Split shipments,High shipping fees,Limited eco-friendly options,Slow delivery,Poor tracking updates",5,4,5,4,5,3,Personalised offers & discounts,1–2 weeks,30+,82.0,64.4,7,4,2,3,4,Socialising / community,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,124,0
26,Female,Germany,High-school diploma / equivalent,3069.0,2,Full-time employee,4,"Yoga/Pilates,Basketball,Gym/Fitness,Cycling",12.0,3,2,10854.0,Frequently,Always,"Price,Sustainability,Customer reviews,Brand,Speed of delivery,Easy returns,Style","Adidas,Under Armour,Puma",1–2 weeks,Long delivery times,4,4,Yes,No,"Poor tracking updates,Slow delivery,Split shipments,High shipping fees,Limited eco-friendly options",2,3,5,3,4,3,Single-cart checkout,2–3 days,10,35.0,100.0,9,4,5,3,4,Competition / performance,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,191,1
32,Male,US,Bachelor’s degree,9802.0,1,Full-time employee,3,"Yoga/Pilates,Basketball,Running/Jogging",10.9,4,4,2982.0,Frequently,Rarely,"Price,Brand,Speed of delivery,Style,Sustainability,Customer reviews,Easy returns","Under Armour,Adidas",1–2 weeks,Lack of sustainability info,3,4,Yes,Maybe,"Split shipments,Slow delivery,Limited eco-friendly options,High shipping fees,Poor tracking updates",3,5,3,5,4,3,Single-cart checkout,1–2 weeks,15,53.0,99.2,8,4,4,4,3,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,245,1
16,Female,UAE,Master’s degree,2896.0,5,Full-time employee,3,"Yoga/Pilates,Cycling,Swimming",13.3,3,4,3474.0,Rarely,Frequently,"Price,Sustainability,Speed of delivery,Brand,Style,Customer reviews,Easy returns",Under Armour,1 day,High prices,3,4,No,Maybe,"Split shipments,Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options",3,3,5,5,3,5,Single-cart checkout,1–2 weeks,15,30.0,100.0,10,2,4,3,5,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,300,1
16,Male,US,Master’s degree,2665.0,7,Retired,3,"Gym/Fitness,Yoga/Pilates,Swimming",10.7,3,4,11798.0,Rarely,Rarely,"Easy returns,Speed of delivery,Price,Sustainability,Style,Brand,Customer reviews","Under Armour,Nike",More than 2 weeks,High prices,3,4,Yes,Yes,"Slow delivery,Poor tracking updates,Split shipments,Limited eco-friendly options,High shipping fees",5,4,3,5,4,5,Flexible delivery,1–2 weeks,20,21.0,97.6,8,3,4,5,4,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,124,1
26,Female,Brazil,Bachelor’s degree,74360.0,5,Other,2,"Gym/Fitness,Football/Soccer",39.5,3,2,17136.0,Frequently,Occasionally,"Speed of delivery,Price,Sustainability,Brand,Customer reviews,Easy returns,Style",Adidas,2–3 days,Difficult returns,5,5,Yes,No,"Split shipments,High shipping fees,Slow delivery,Poor tracking updates,Limited eco-friendly options",5,2,1,2,3,3,Personalised offers & discounts,2–3 days,20,39.0,95.2,8,4,3,3,2,Overall health,Shipping costs are high.,Make packaging eco-friendly.,Laptop or desktop computer,154,1
22,Female,Germany,High-school diploma / equivalent,5177.0,4,Full-time employee,2,"Football/Soccer,Yoga/Pilates",5.5,3,3,5577.0,Frequently,Never,"Sustainability,Price,Style,Speed of delivery,Brand,Easy returns,Customer reviews","Lululemon,Local/Other,Under Armour,Decathlon",1–2 weeks,Limited sizing,3,2,Yes,Yes,"High shipping fees,Slow delivery,Split shipments,Poor tracking updates,Limited eco-friendly options",3,3,4,5,4,4,Personalised offers & discounts,No preference,10,78.0,94.7,10,2,4,3,2,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,142,1
33,Female,Canada,Bachelor’s degree,3479.0,6,Self-employed / freelancer,2,"Football/Soccer,Cycling",9.5,5,4,1094.0,Occasionally,Rarely,"Brand,Price,Sustainability,Easy returns,Speed of delivery,Customer reviews,Style",Decathlon,2–3 days,Other,2,4,Yes,Maybe,"High shipping fees,Limited eco-friendly options,Split shipments,Slow delivery,Poor tracking updates",5,4,3,4,4,4,Single-cart checkout,No preference,15,24.0,100.0,10,2,4,5,2,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,269,1
23,Male,India,Bachelor’s degree,4984.0,3,Full-time employee,0,,7.2,3,4,919.0,Rarely,Occasionally,"Price,Customer reviews,Speed of delivery,Sustainability,Easy returns,Brand,Style","Under Armour,Local/Other,Nike",2–3 days,Long delivery times,3,3,No,No,"Split shipments,High shipping fees,Slow delivery,Limited eco-friendly options,Poor tracking updates",4,3,3,4,4,4,Product sustainability information,4–7 days,10,27.0,74.8,7,4,4,3,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,236,0
19,Female,India,High-school diploma / equivalent,2902.0,3,Full-time employee,3,"Cycling,Basketball,Gym/Fitness",8.2,1,1,3893.0,Never,Occasionally,"Speed of delivery,Price,Brand,Sustainability,Easy returns,Customer reviews,Style",Lululemon,1 day,Limited sizing,2,5,No,Maybe,"Poor tracking updates,Split shipments,Limited eco-friendly options,High shipping fees,Slow delivery",4,5,5,3,5,5,Flexible delivery,4–7 days,5,65.0,95.8,10,4,4,5,5,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,441,1
42,Female,UAE,Bachelor’s degree,8550.0,3,Full-time employee,2,"Gym/Fitness,Basketball",7.4,1,1,8430.0,Occasionally,Always,"Style,Easy returns,Customer reviews,Brand,Speed of delivery,Price,Sustainability",Nike,1 day,High prices,1,3,Yes,Maybe,"High shipping fees,Split shipments,Slow delivery,Poor tracking updates,Limited eco-friendly options",5,4,4,2,4,4,Product sustainability information,More than 2 weeks,25,115.0,84.6,7,3,4,3,5,Stress relief / mental health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,283,0
28,Female,India,Bachelor’s degree,7364.0,5,Full-time employee,2,"Basketball,Swimming",9.4,4,3,1909.0,Never,Frequently,"Brand,Price,Speed of delivery,Easy returns,Customer reviews,Sustainability,Style","Adidas,Puma,Nike,Under Armour",1–2 weeks,Other,3,5,Yes,Yes,"Split shipments,Limited eco-friendly options,Slow delivery,Poor tracking updates,High shipping fees",4,5,5,2,3,3,Personalised offers & discounts,4–7 days,25,55.0,84.5,9,3,5,5,3,Stress relief / mental health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,186,1
31,Male,Canada,Bachelor’s degree,6141.0,4,Full-time employee,2,"Yoga/Pilates,Football/Soccer",8.9,5,4,1893.0,Occasionally,Always,"Brand,Customer reviews,Price,Sustainability,Style,Speed of delivery,Easy returns","Lululemon,Nike,Puma,Adidas",1–2 weeks,Long delivery times,3,4,Yes,Yes,"Split shipments,Poor tracking updates,High shipping fees,Slow delivery,Limited eco-friendly options",4,3,4,4,4,3,Flexible delivery,4–7 days,15,10.0,90.4,9,5,5,3,3,Socialising / community,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,147,1
19,Male,US,Bachelor’s degree,5055.0,6,Full-time employee,2,"Cycling,Football/Soccer",5.3,2,3,4376.0,Occasionally,Occasionally,"Price,Customer reviews,Sustainability,Brand,Speed of delivery,Style,Easy returns","Adidas,Local/Other,Puma",4–7 days,Difficult returns,5,4,Yes,No,"Split shipments,Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options",1,1,2,3,5,4,Single-cart checkout,4–7 days,5,70.0,71.1,9,5,5,3,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,355,1
26,Male,Brazil,Master’s degree,9544.0,3,Self-employed / freelancer,1,Football/Soccer,6.3,1,1,3672.0,Rarely,Rarely,"Brand,Easy returns,Customer reviews,Speed of delivery,Price,Style,Sustainability","Decathlon,Puma",4–7 days,High prices,2,3,Yes,Yes,"Poor tracking updates,Limited eco-friendly options,High shipping fees,Split shipments,Slow delivery",1,4,1,2,4,4,Single-cart checkout,1–2 weeks,15,131.0,73.4,6,3,3,4,5,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,260,0
31,Male,Canada,Master’s degree,4963.0,3,Full-time employee,1,Cycling,5.3,3,2,1314.0,Rarely,Occasionally,"Sustainability,Price,Speed of delivery,Customer reviews,Brand,Style,Easy returns","Decathlon,Under Armour,Nike,Local/Other",4–7 days,High prices,4,3,Yes,No,"High shipping fees,Split shipments,Poor tracking updates,Slow delivery,Limited eco-friendly options",4,3,5,5,3,4,Single-cart checkout,4–7 days,15,36.0,100.0,10,3,4,3,3,Socialising / community,Shipping costs are high.,Offer faster standard shipping.,Smartphone,320,1
21,Female,Brazil,Bachelor’s degree,2788.0,4,Part-time employee,1,Running/Jogging,4.1,4,4,1882.0,Always,Occasionally,"Customer reviews,Brand,Easy returns,Speed of delivery,Price,Style,Sustainability","Local/Other,Puma,Adidas",2–3 days,Other,3,4,No,Maybe,"High shipping fees,Slow delivery,Poor tracking updates,Limited eco-friendly options,Split shipments",2,4,1,4,5,4,Single-cart checkout,4–7 days,25,103.0,100.0,10,5,5,3,4,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,188,1
33,Male,Brazil,Master’s degree,6059.0,4,Full-time employee,1,Yoga/Pilates,8.7,3,2,5803.0,Frequently,Occasionally,"Brand,Price,Customer reviews,Sustainability,Speed of delivery,Easy returns,Style","Nike,Decathlon,Puma,Local/Other",1–2 weeks,Limited sizing,3,3,Yes,Yes,"Slow delivery,Poor tracking updates,High shipping fees,Split shipments,Limited eco-friendly options",4,4,4,4,3,5,Single-cart checkout,4–7 days,5,34.0,43.7,2,5,4,3,5,Appearance / aesthetics,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,351,0
25,Non-binary / gender-diverse,Germany,Doctorate / professional,10755.0,5,Full-time employee,4,"Yoga/Pilates,Football/Soccer,Running/Jogging,Gym/Fitness",12.0,5,5,2375.0,Always,Frequently,"Price,Customer reviews,Easy returns,Sustainability,Speed of delivery,Style,Brand","Nike,Puma,Local/Other,Adidas",4–7 days,Lack of sustainability info,5,5,No,Maybe,"Poor tracking updates,High shipping fees,Slow delivery,Split shipments,Limited eco-friendly options",4,4,3,4,5,4,Personalised offers & discounts,More than 2 weeks,15,44.0,85.5,6,3,5,4,5,Overall health,Shipping costs are high.,Offer faster standard shipping.,Laptop or desktop computer,405,0
28,Male,US,Bachelor’s degree,3210.0,2,Full-time employee,1,Gym/Fitness,8.0,4,3,3444.0,Occasionally,Occasionally,"Speed of delivery,Price,Brand,Sustainability,Style,Customer reviews,Easy returns","Adidas,Puma,Decathlon",4–7 days,Limited sizing,4,4,Yes,Yes,"Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options,Split shipments",4,1,4,4,3,5,Single-cart checkout,More than 2 weeks,20,98.0,63.1,6,5,5,5,5,Stress relief / mental health,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,179,0
25,Male,India,Bachelor’s degree,4040.0,1,Full-time employee,1,Running/Jogging,3.7,4,4,1888.0,Frequently,Occasionally,"Easy returns,Sustainability,Brand,Price,Speed of delivery,Customer reviews,Style","Under Armour,Adidas,Puma,Lululemon",More than 2 weeks,High prices,4,5,No,Yes,"Split shipments,Poor tracking updates,Limited eco-friendly options,High shipping fees,Slow delivery",4,5,3,3,5,3,Flexible delivery,1–2 weeks,30+,31.0,39.4,6,4,3,5,3,Stress relief / mental health,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,462,0
45,Female,Germany,Bachelor’s degree,6676.0,2,Full-time employee,2,"Running/Jogging,Cycling",9.2,3,2,9652.0,Occasionally,Rarely,"Price,Sustainability,Brand,Customer reviews,Easy returns,Style,Speed of delivery","Local/Other,Under Armour,Puma",4–7 days,Limited sizing,4,3,No,Yes,"Split shipments,Poor tracking updates,Slow delivery,High shipping fees,Limited eco-friendly options",5,4,1,4,2,5,Single-cart checkout,4–7 days,5,117.0,64.7,6,3,3,5,4,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,216,0
30,Female,Brazil,Doctorate / professional,4810.0,5,Full-time employee,2,"Yoga/Pilates,Football/Soccer",10.1,2,2,5429.0,Frequently,Never,"Price,Speed of delivery,Easy returns,Brand,Sustainability,Customer reviews,Style","Decathlon,Local/Other,Under Armour,Lululemon",2–3 days,Lack of sustainability info,5,1,Yes,Yes,"Split shipments,High shipping fees,Poor tracking updates,Limited eco-friendly options,Slow delivery",3,4,4,4,4,3,Something else,1–2 weeks,5,23.0,97.0,9,4,4,1,2,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,452,1
22,Female,UAE,Master’s degree,3052.0,4,Full-time employee,1,Basketball,5.5,4,3,5023.0,Rarely,Rarely,"Brand,Sustainability,Speed of delivery,Customer reviews,Price,Easy returns,Style",Adidas,1–2 weeks,Difficult returns,4,4,No,No,"Limited eco-friendly options,Split shipments,High shipping fees,Slow delivery,Poor tracking updates",4,3,3,3,4,4,Single-cart checkout,4–7 days,30+,81.0,74.2,9,4,3,4,4,Competition / performance,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,161,1
37,Female,India,High-school diploma / equivalent,8237.0,5,Full-time employee,3,"Yoga/Pilates,Gym/Fitness,Swimming",9.0,3,2,3103.0,Never,Rarely,"Price,Sustainability,Speed of delivery,Easy returns,Brand,Customer reviews,Style","Decathlon,Adidas,Lululemon,Under Armour",1–2 weeks,Long delivery times,2,3,Yes,Yes,"Poor tracking updates,Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options",5,4,4,3,4,4,Personalised offers & discounts,1–2 weeks,15,35.0,70.6,7,3,5,3,3,Socialising / community,Shipping costs are high.,Offer faster standard shipping.,Laptop or desktop computer,224,0
20,Female,India,Bachelor’s degree,11189.0,2,Self-employed / freelancer,3,"Gym/Fitness,Football/Soccer,Basketball",7.4,2,2,8050.0,Always,Frequently,"Sustainability,Brand,Customer reviews,Price,Speed of delivery,Easy returns,Style","Local/Other,Under Armour,Decathlon",More than 2 weeks,High prices,2,5,No,Maybe,"Split shipments,Slow delivery,Poor tracking updates,High shipping fees,Limited eco-friendly options",1,4,5,3,5,3,Single-cart checkout,4–7 days,25,85.0,100.0,10,2,3,2,4,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Other,423,1
32,Male,US,Bachelor’s degree,5422.0,6,Self-employed / freelancer,1,Running/Jogging,4.3,2,1,4743.0,Frequently,Rarely,"Customer reviews,Price,Sustainability,Speed of delivery,Brand,Easy returns,Style","Nike,Adidas,Decathlon",4–7 days,Limited sizing,4,4,No,Yes,"Split shipments,High shipping fees,Poor tracking updates,Slow delivery,Limited eco-friendly options",3,5,4,4,4,5,Personalised offers & discounts,4–7 days,25,116.0,66.6,10,5,3,4,2,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,323,0
16,Prefer not to say,Australia,Bachelor’s degree,2944.0,4,Full-time employee,1,Basketball,5.1,3,2,3901.0,Always,Frequently,"Brand,Style,Customer reviews,Speed of delivery,Easy returns,Price,Sustainability","Local/Other,Nike,Decathlon",2–3 days,High prices,4,2,Yes,Maybe,"Split shipments,High shipping fees,Poor tracking updates,Slow delivery,Limited eco-friendly options",4,3,3,2,2,3,Something else,4–7 days,15,48.0,64.6,6,5,5,5,4,Overall health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,269,0
19,Non-binary / gender-diverse,UK,High-school diploma / equivalent,2354.0,5,Full-time employee,4,"Yoga/Pilates,Running/Jogging,Basketball,Cycling",10.0,3,2,4451.0,Occasionally,Occasionally,"Speed of delivery,Price,Brand,Style,Sustainability,Easy returns,Customer reviews","Lululemon,Under Armour",2–3 days,Long delivery times,4,4,No,Maybe,"Split shipments,Slow delivery,Poor tracking updates,High shipping fees,Limited eco-friendly options",4,4,4,4,3,4,Product sustainability information,1–2 weeks,10,24.0,100.0,10,2,3,5,4,Socialising / community,Shipping costs are high.,Offer faster standard shipping.,Smartphone,367,1
32,Female,UK,Master’s degree,5558.0,5,Full-time employee,3,"Yoga/Pilates,Running/Jogging,Swimming",8.5,3,2,5065.0,Occasionally,Never,"Sustainability,Price,Speed of delivery,Brand,Customer reviews,Style,Easy returns","Local/Other,Puma",1 day,Limited sizing,2,4,Yes,Yes,"Poor tracking updates,Slow delivery,Split shipments,High shipping fees,Limited eco-friendly options",2,3,5,3,4,5,Single-cart checkout,No preference,10,21.0,100.0,10,4,4,5,5,Stress relief / mental health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,448,1
36,Male,UK,Bachelor’s degree,8102.0,5,Part-time employee,2,"Gym/Fitness,Yoga/Pilates",8.3,1,2,989.0,Occasionally,Frequently,"Brand,Sustainability,Customer reviews,Price,Speed of delivery,Easy returns,Style","Adidas,Nike,Lululemon,Decathlon",4–7 days,Difficult returns,5,4,Yes,No,"Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options,Poor tracking updates",4,5,4,4,4,3,Single-cart checkout,2–3 days,25,21.0,89.2,10,3,3,4,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Laptop or desktop computer,214,1
31,Female,Australia,Master’s degree,6003.0,2,Full-time employee,1,Running/Jogging,6.6,3,2,9291.0,Frequently,Occasionally,"Sustainability,Brand,Easy returns,Price,Customer reviews,Speed of delivery,Style","Under Armour,Local/Other",2–3 days,Long delivery times,4,4,Yes,No,"High shipping fees,Slow delivery,Limited eco-friendly options,Split shipments,Poor tracking updates",4,4,4,5,3,5,Single-cart checkout,4–7 days,25,39.0,65.1,6,4,5,5,4,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,169,0
29,Male,US,Master’s degree,4861.0,5,Full-time employee,1,Yoga/Pilates,8.2,2,3,1777.0,Frequently,Rarely,"Speed of delivery,Price,Sustainability,Customer reviews,Easy returns,Brand,Style","Puma,Under Armour,Decathlon",4–7 days,Lack of sustainability info,4,2,Yes,Maybe,"High shipping fees,Slow delivery,Split shipments,Limited eco-friendly options,Poor tracking updates",4,5,5,5,3,4,Single-cart checkout,4–7 days,20,9.0,86.4,10,5,3,4,5,Appearance / aesthetics,Shipping costs are high.,Offer faster standard shipping.,Smartphone,310,1
28,Male,Australia,Master’s degree,38050.0,4,Full-time employee,2,"Cycling,Swimming",36.5,4,5,22880.0,Always,Always,"Price,Brand,Speed of delivery,Style,Customer reviews,Sustainability,Easy returns","Puma,Lululemon,Nike,Decathlon",1–2 weeks,Lack of sustainability info,1,2,No,No,"Slow delivery,Split shipments,High shipping fees,Limited eco-friendly options,Poor tracking updates",4,4,5,4,4,5,Flexible delivery,4–7 days,15,22.0,81.3,9,3,3,5,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,295,1
18,Male,UK,Bachelor’s degree,2794.0,3,"Unemployed, looking for work",1,Basketball,6.0,3,2,1078.0,Never,Never,"Price,Brand,Speed of delivery,Easy returns,Style,Customer reviews,Sustainability","Nike,Adidas,Decathlon,Puma",More than 2 weeks,High prices,5,4,Yes,Maybe,"Slow delivery,Poor tracking updates,High shipping fees,Split shipments,Limited eco-friendly options",5,3,3,3,4,4,Single-cart checkout,No preference,10,38.0,70.4,7,3,5,2,4,Stress relief / mental health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,441,0
